X	Y	THETA
                   0	                   0	         1.047197551
         5.001266756	         8.662448124	         1.047197551
         10.00253351	         17.32489625	         1.047197551
         15.00380027	         25.98734437	         1.047197551
         20.00506703	          34.6497925	         1.047197551
         25.12210152	         43.24375046	          1.01529559
         30.55663799	         51.64044937	        0.9774560052
         36.30493602	         59.82554613	        0.9396164209
         42.35876599	         67.78732244	        0.9017768367
         48.70946085	         75.51437971	        0.8639372524
         55.34792855	         82.99565539	        0.8260976681
         62.23225947	          90.2518751	        0.8067403602
         69.25917689	         97.36876124	        0.7612092966
         76.73385072	         104.0125571	        0.6920217723
         84.64994251	         110.1237159	         0.622834248
         92.79842961	         115.9248192	         0.618551312
         100.9476871	         121.7248432	         0.618551312
         109.0969446	         127.5248672	         0.618551312
         117.2462021	         133.3248912	         0.618551312
          125.399005	         139.1198481	        0.5943948671
         134.6791415	         142.5964536	         0.122495341
         144.6746081	         142.8483964	       0.01235467942
         154.6717498	         142.6985821	      -0.07549635749
         164.5595607	         141.2439673	       -0.2166321054
         174.1444385	         138.4129206	       -0.3577678532
         183.3654237	          134.539357	       -0.4059057365
         192.5552028	          130.589846	       -0.4059057365
         201.7449819	          126.640335	       -0.4059057365
          210.941084	         122.7056132	       -0.4002681568
         220.1720918	         118.8535542	       -0.3903856537
         229.4407161	         115.0929073	       -0.3805031506
         238.7460518	         111.4240397	       -0.3706206475
         248.0871902	         107.8473098	       -0.3607381444
         257.4632189	         104.3630668	       -0.3508556413
         266.8732222	         100.9716512	       -0.3409731381
         276.3162811	         97.67339401	        -0.331090635
         285.7914734	         94.46861743	       -0.3212081319
         295.2978737	         91.35763444	       -0.3113256288
          304.828714	          88.3222367	       -0.3076364249
         314.3616479	         85.29340079	       -0.3076364249
         323.8913469	          82.2545023	       -0.3178844427
         333.3111686	         78.89339414	       -0.3675770292
         342.5524089	         75.06853232	       -0.4172696157
         351.5922525	         70.78935984	       -0.4669622022
         360.4616914	         66.16534145	       -0.4832426161
         369.3188637	         61.51763497	       -0.4832426161
          378.176036	          56.8699285	       -0.4832426161
         387.0398792	         52.23515432	       -0.4622162502
         396.2966277	         48.47072443	       -0.3102677636
         406.0163836	         46.14996886	       -0.1634105426
         415.8856652	         44.52271415	       -0.1634105426
         425.7549468	         42.89545945	       -0.1634105426
         435.6242283	         41.26820474	       -0.1634105426
         445.4935099	         39.64095004	       -0.1634105426
         455.3627915	         38.01369533	       -0.1634105426
         465.2320731	         36.38644063	       -0.1634105426
         475.0484821	         34.47442754	       -0.2239330575
         484.7245492	         31.94637396	       -0.2871790769
         494.2214877	         28.81181004	       -0.3504250963
         503.5013217	         25.08327006	       -0.4136711157
         512.5699944	         20.86401347	       -0.4416623522
         521.6127084	         16.58850162	       -0.4416623522
         530.6554223	         12.31298977	       -0.4416623522
         539.6981362	         8.037477923	       -0.4416623522
         548.7408501	         3.761966073	       -0.4416623522
         557.7835641	       -0.5135457764	       -0.4416623522
         567.0016433	         -4.38527237	       -0.3458449591
         576.5715046	        -7.279716299	       -0.2415685472
         586.3906593	         -9.16233471	       -0.1372921353
         596.3524348	        -10.01267536	      -0.03301572347
           606.35434	        -10.09209987	     -0.003866864527
         616.3549618	        -10.02320957	       0.05896044932
         626.2302657	        -8.523645293	        0.2424369215
         635.6662224	        -5.247513426	        0.4259133938
         644.3460736	       -0.3047913759	         0.609389866
          651.978443	          6.13859721	        0.7928663382
         658.3071174	         13.86635238	        0.9763428105
         663.1196476	         22.61905893	         1.159819283
         666.3613321	         32.07332036	         1.279516502
         668.9587705	         41.72834689	         1.366709207
         670.3272887	         51.62932599	         1.500183014
         670.3660338	         61.62436115	         1.633656822
         669.0743164	         71.53565246	         1.767130629
         666.7167192	         81.25511877	         1.818742578
          664.261962	         90.95175964	         1.818742578
         661.8072049	         100.6484005	         1.818742578
         660.4552461	         110.5195304	         1.545597342
         662.3546446	          120.292915	          1.21209287
         667.3487682	          128.906015	        0.8785883971
         674.8872737	         135.4096828	        0.5450839248
         684.1021364	         139.2192343	        0.3072335544
         693.6362898	         142.2442294	        0.3072335544
         703.1704432	         145.2692245	        0.3072335544
         712.7045966	         148.2942196	        0.3072335544
           722.23875	         151.3192148	        0.3072335544
         731.7729034	         154.3442099	        0.3072335544
         741.3070568	          157.369205	        0.3072335544
         750.8412102	         160.3942001	        0.3072335544
         760.3753636	         163.4191953	        0.3072335544
          769.909517	         166.4441904	        0.3072335544
         779.4436705	         169.4691855	        0.3072335544
         788.9778239	         172.4941806	        0.3072335544
         798.5119773	         175.5191758	        0.3072335544
         808.0461307	         178.5441709	        0.3072335544
         817.5802841	          181.569166	        0.3072335544
         827.1144375	         184.5941612	        0.3072335544
         836.6485909	         187.6191563	        0.3072335544
         846.1827443	         190.6441514	        0.3072335544
         855.7168977	         193.6691465	        0.3072335544
         865.2510511	         196.6941417	        0.3072335544
         874.7907183	         199.7004735	        0.2473243322
         884.2227026	         197.6524444	       -0.6749592704
         890.7845799	         190.1559213	        -1.031436027
          894.008528	         180.7637642	        -1.448841751
          893.221654	         170.8528561	        -1.786767287
         889.5650077	          161.611588	        -2.147806097
          883.909758	         153.3612966	        -2.156028421
         880.3732402	         144.0915159	        -1.714496587
         879.9710619	         134.1022279	        -1.594829258
         879.7306948	         124.1025829	        -1.594829258
         879.4903278	         114.1029379	        -1.594829258
         878.8425671	         104.1251564	        -1.683579189
         877.2908318	         94.24607359	        -1.748273142
         878.3310457	         84.58872378	         -1.01360468
         886.5900101	         79.62785056	      -0.07855822127
         894.2987542	         84.26466443	         1.354482732
         893.2742677	         94.17554978	         1.694089872
         892.3471508	         104.1334711	         1.633174443
         891.9597036	          114.127951	          1.60109781
         891.6566584	         124.1258928	          1.60109781
         891.3536131	         134.1238346	          1.60109781
         892.3936018	         143.9689766	         1.170041108
         898.7810171	         151.5218787	        0.6792809211
         908.0812694	         154.5587282	      -0.04804330075
         917.8301187	         152.3846961	       -0.2464204573
         927.5304937	         149.9447369	       -0.2464204573
         937.2308688	         147.5047777	       -0.2464204573
         946.9312438	         145.0648185	       -0.2464204573
         956.6215951	         142.5875395	        -0.294349672
         965.6253496	         138.3157321	       -0.5916449731
         972.9827671	         131.5938022	       -0.8889402742
         979.2212403	         123.7751027	       -0.8974646391
         979.5213765	          114.691229	        -2.239376854
         973.3210785	         106.8422174	        -2.239376854
         967.1204786	         98.99344464	        -2.240650519
         960.8280245	         91.21835657	        -2.261725857
         954.3731173	         83.57760095	        -2.282801195
          947.758624	         76.07457145	        -2.303876533
         940.9874824	         68.71260055	        -2.324951871
            934.0627	         61.49495812	        -2.346027209
         926.9873525	         54.42484988	        -2.367102547
         919.7645823	         47.50541605	        -2.388177885
         912.3975976	         40.73972992	        -2.409253223
         904.8896703	         34.13079649	        -2.430328562
         897.2441351	         27.68155114	          -2.4514039
         889.4643879	         21.39485834	        -2.472479238
         881.5838882	         15.23466029	        -2.479172097
         873.6968321	         9.082829364	        -2.479172097
         865.7796996	         2.970029125	        -2.496794002
         857.6920566	        -2.914902981	        -2.528311985
         849.4229799	        -8.542048339	        -2.559829968
         840.9806831	         -13.9058175	        -2.591347951
          832.373552	        -19.00088263	        -2.622865934
         823.6101361	        -23.82218279	        -2.654383917
           814.69914	        -28.36492898	          -2.6859019
          805.649415	        -32.62460888	        -2.717419883
         796.4699503	        -36.59699136	        -2.748937866
         787.1698639	        -40.27813063	        -2.780455849
         777.7583934	        -43.66437023	        -2.811973832
         768.2448874	        -46.75234659	        -2.843491816
         758.6387956	        -49.53899243	        -2.875009799
         748.9807099	        -52.14130138	        -2.878604522
            739.3144	        -54.71258384	        -2.891278704
          729.591632	        -57.06045493	        -2.918015476
         719.8095719	        -59.14756241	        -2.944752249
         709.9752122	        -60.97241439	        -2.971489021
         700.0955824	        -62.53370645	        -2.998225793
         690.1777448	        -63.83032256	        -3.024962565
         680.2287887	        -64.86133588	        -3.051699337
         670.2558257	        -65.62600942	        -3.078436109
         660.2659846	         -66.1237966	        -3.105172881
         650.2664063	        -66.35434158	        -3.131909653
         640.2642387	        -66.31747957	        -3.158646425
         630.2666313	        -66.01323692	        -3.185383197
         620.2807306	         -65.4418311	        -3.212119969
         610.3134106	        -64.60645195	        -3.234992006
         600.3544736	        -63.67357948	        -3.234992006
         590.3955366	        -62.74070702	        -3.234992006
         580.4390469	        -61.78289661	        -3.248262527
         570.5141279	        -60.54339727	        -3.283411429
         560.6388972	        -58.95588533	        -3.318560332
         550.8255538	        -57.02232187	        -3.353709235
         541.0862203	        -54.74509546	        -3.388858138
         531.4329279	         -52.1270192	         -3.42400704
         521.8776016	        -49.17132724	        -3.459155943
         512.4320451	        -45.88167081	        -3.494304846
         503.1079268	        -42.26211368	        -3.529453749
         493.9167648	        -38.31712715	        -3.564602651
         484.8643248	        -34.06309958	        -3.590267084
         475.8518132	        -29.72428514	        -3.590267084
         466.8393015	        -25.38547071	        -3.590267084
         457.8267899	        -21.04665628	        -3.590267084
         448.8142783	        -16.70784185	        -3.590267084
         439.8017666	        -12.36902741	        -3.590267084
          430.789255	         -8.03021298	        -3.590267084
         421.7767434	        -3.691398548	        -3.590267084
         412.2550323	         -3.69687213	        -2.590535128
         403.2180451	          -6.0618871	        -3.588805838
         396.5119208	        0.8007639295	        -4.478203118
         392.7466347	          9.66425192	        -3.766901495
         383.7673709	         14.05400924	        -3.582231207
         374.7202845	         18.32026093	        -3.582231207
          365.673198	         22.58651263	        -3.582231207
         356.6261116	         26.85276432	        -3.582231207
         347.5790251	         31.11901601	        -3.582231207
         338.5319387	         35.38526771	        -3.582231207
         329.4848522	          39.6515194	        -3.582231207
         320.4377658	         43.91777109	        -3.582231207
         311.3906793	         48.18402279	        -3.582231207
         302.3435929	         52.45027448	        -3.582231207
         293.2965064	         56.71652617	        -3.582231207
           284.24942	         60.98277786	        -3.582231207
         275.2023335	         65.24902956	        -3.582231207
         266.1552471	         69.51528125	        -3.582231207
         257.1081607	         73.78153294	        -3.582231207
         248.0610742	         78.04778464	        -3.582231207
         239.0139878	         82.31403633	        -3.582231207
         229.9669013	         86.58028802	        -3.582231207
         220.9198149	         90.84653972	        -3.582231207
         211.8727284	         95.11279141	        -3.582231207
          202.825642	          99.3790431	        -3.582231207
         193.7785555	         103.6452948	        -3.582231207
         184.7314691	         107.9115465	        -3.582231207
         175.1349236	         110.5306577	        -3.226075304
         165.2348367	         109.5617946	        -2.862003089
         155.8546086	         106.0952486	        -2.777887056
         146.5166483	         102.5105215	        -2.758257714
         137.3743225	         98.45712364	        -2.690280496
         128.5284381	         93.79209595	        -2.622303278
         120.0198551	          88.5369868	         -2.55432606
         111.8878759	         82.71607021	        -2.486348843
         104.1700631	         76.35623369	        -2.418371625
         96.90206614	         69.48685412	        -2.350394407
         90.11745683	           62.139662	        -2.282417189
         83.84757411	         54.34859491	        -2.214439972
         78.12137935	         46.14964077	        -2.146462754
         72.94370448	         37.59304795	        -2.096886135
         67.92087482	         28.94308501	        -2.096886135
         62.91023001	         20.28618599	        -2.071096107
         59.19326598	         11.02516911	        -1.833846014
         57.75704444	         1.149971752	        -1.596595922
         58.68202835	        -8.786157272	        -1.359345829
         61.06418962	        -18.50047222	        -1.357196204
         62.12230544	        -28.42755058	        -1.572020617
         61.03988557	         -38.3520083	        -1.786845029
         57.86721345	        -47.81783294	        -1.996705231
         53.73468015	        -56.92677608	        -1.996705231
         49.60214685	        -66.03571923	        -1.996705231
         45.46961355	        -75.14466237	        -1.996705231
         41.33708026	        -84.25360552	        -1.996705231
         37.20454696	        -93.36254866	        -1.996705231
         33.07201366	        -102.4714918	        -1.996705231
         28.93948036	         -111.580435	        -1.996705231
         24.80694706	        -120.6893781	        -1.996705231
         20.67441377	        -129.7983212	        -1.996705231
         16.54188047	        -138.9072644	        -1.996705231
         11.99719832	        -147.7886272	        -2.232573086
         3.939634094	        -153.4681371	        -2.822642543
        -5.938598927	        -153.8225128	        -3.293280842
        -15.84329705	        -153.1215728	        -2.900979319
         -23.1287136	         -159.425559	        -1.955599866
         -26.7285248	        -168.7578608	        -1.936050041
        -30.04105109	        -178.1946146	        -1.880716026
        -32.82660039	        -187.8001268	         -1.82538201
        -35.07664593	        -197.5449945	        -1.770047995
        -36.78430017	        -207.3993878	         -1.71471398
        -37.94433585	        -217.3331418	        -1.659379964
        -38.55320202	        -227.3158485	        -1.604045949
        -38.61094668	        -237.3169865	         -1.55331149
        -38.40800448	        -247.3172675	        -1.528419022
        -37.43398757	        -257.2671607	        -1.418011057
        -35.36958427	        -267.0491504	        -1.307603093
        -32.23993394	         -276.544116	        -1.197195128
        -28.31338221	        -285.7430778	        -1.149401662
        -23.98801567	        -294.7608166	        -1.097718571
        -19.20256753	        -303.5430654	         -1.04603548
        -14.46027304	        -312.3172235	        -1.309481703
        -15.94296668	         -321.997189	        -1.925725652
        -19.98884999	        -331.0656123	        -2.358807077
        -29.26784144	        -331.9239601	        -3.500054731
        -38.63458879	        -328.4147264	        -3.500054731
        -48.00133614	        -324.9054928	        -3.500054731
        -57.36808349	        -321.3962591	        -3.500054731
        -66.73483083	        -317.8870255	        -3.500054731
        -76.10157818	        -314.3777918	        -3.500054731
        -85.46832553	        -310.8685582	        -3.500054731
        -94.61037321	        -306.9011396	        -3.792606338
        -99.27901238	        -298.3834484	        -4.629388284
        -96.08283144	        -289.2106479	        -5.452539006
        -89.55485502	        -281.6422673	        -5.327673713
         -84.9661832	        -272.7896009	        -5.053524275
        -82.94553834	        -263.0252471	        -4.779374836
        -82.84779802	        -253.0245576	        -4.714483747
        -82.82684505	         -243.022046	        -4.714483747
        -82.77965414	        -233.0197104	        -4.728317941
        -82.43796721	        -223.0235696	        -4.764797181
        -81.73193686	        -213.0465408	        -4.801276421
        -80.66250251	        -203.1018994	         -4.83775566
        -79.23108715	        -193.2028776	          -4.8742349
         -77.4395954	         -183.362647	         -4.91071414
        -75.29041099	        -173.5943007	         -4.94719338
         -72.7863936	        -163.9108365	        -4.983672619
         -70.0020017	        -154.3037399	         -4.99687575
        -67.19464176	          -144.70325	         -4.99687575
        -64.38351783	        -135.1038668	        -5.001381243
        -61.40920774	        -125.5540724	        -5.027257797
        -58.18880519	        -116.0844314	        -5.053134351
        -54.72446643	        -106.7012842	        -5.079010906
        -51.01851105	        -97.41091344	         -5.10488746
        -47.07342038	        -88.21953957	        -5.130764014
        -42.89183591	        -79.13331674	        -5.156640568
        -38.47655744	        -70.15832871	        -5.182517122
        -33.83054128	        -61.30058477	        -5.208393677
        -28.99700741	        -52.54350041	        -5.216846574
        -24.18646802	        -43.77371234	        -5.211909372
        -19.40499376	        -34.98803334	        -5.210223129
        -14.62405329	        -26.20206368	        -5.211787846
        -9.815112365	        -17.43139842	        -5.216603523
        -4.949786855	        -8.691905278	         -5.22467016
    -2.735589533e-13	    -4.121147867e-13	        -5.235987756
